RECID|DIVISI|DEPART|KATEGORI|SUB_KATEGORI|CAT_COD|PRDCD|PLUMD|KDMERK|MERK|NAMA|FLAVOUR|KEMASAN|SIZE|SINGKATAN|BKP|SUB_BKP|BBS_PPN|DESC2|FRAC|PSNDULU|UNIT|ACOST|LCOST|RCOST|ACOST_1|RCOST_1|MARKUP|PRICE|PRDGRP|CTGR|KONS|SUPCO|PTAG|TGL_TAMBAH|REORDER|KEL_ORD|LENGTH|WIDTH|HEIGHT|K_LENGTH|K_WIDTH|K_HEIGHT|BERAT_SAT|BERAT_KRT|EXP_MONTH|BARCSTS|KET|TGL_HJB|TP_BELI|RCG|BRG_AKTIF|EXPRICE|PLUTABUNG|OPENPRICE|QTYTABUNG|NonSO|NONRET|TIPE_GDG|BRG_IKIOSK|ADDID|ADDTIME|UPDID|UPDTIME|MerkAsing|DescAsing|NPLUS|PKM_NEW|FLAGPROD|FT|HIT_SS|HIT_SPD|HIT_LEAD|HIT_RASIO|HIT_PKM|HIT_MIN_DISP|HIT_PKM_AKHIR|HIT_FIXED_TB|HIT_SS_DEP|SS_TUA|SS_MUDA|STATUS_RETUR|FT_SEASONAL|HIGHIMPACT|DISC_05|VNPPN
|01|02|01||010201|10000021|10000021||CAP ENAK|KENTAL MANIS|PUTIH|KLG|370g|ENAK K/MNS PUTIH 370|Y|Y||CAP ENAK,KENTAL MANIS PUTIH 370g KLG|1|N|CTN|9994.916073|10052.404000|9937.428146|0.000000|0.000000|0.000000|11700.000000||XX|||L|01/01/1998 00:00:00|2||7.50|7.50|8.30|16.50|46.30|31.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|4|TBJ=N,GRB=Y,FPD=S,RTN=48,TBO=N,MDR=1,GRB=Y|0|11|0.000000|1||0.000000|2|4|0|11 11|0|0|RT|0|Y|0.0000|11
|01|11|04||011104|10000052|10000052||AIM|CRACKERS|CRISPY|PCK|150g|AIM CRACK CRISPY 150|Y|Y||AIM,CRACKERS CRISPY 150g PCK|1|N|CTN|7034.224134|7227.674000|7034.224134|0.000000|0.000000|0.000000|11400.000000||XX||||11/06/1999 00:00:00|1||4.00|16.00|7.50|16.50|31.00|28.50|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|6|GRB=Y,FPD=S,RTN=28,MDR=1,GRB=Y|1|11|0.054348|1||1.652176|5|6|1|11 11|0|0|RT|0|Y|0.0000|11
|01|07|06||010706|10000060|10000060||JEMPOL|SAMBAL|PEDAS|BTL|320mL|JEMPOL SMBL PDS 320|Y|Y||JEMPOL,SAMBAL PEDAS 320mL BTL|1|N|CTN|16732.226333|17424.139000|16386.270000|0.000000|0.000000|0.000000|22400.000000||XX||||02/05/2019 00:00:00|1||6.10|6.10|21.00|40.00|26.50|21.80|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|4|GRB=Y,FPD=S,RTN=24,MDR=2,GRB=Y|0|11|0.021739|1||0.260868|3|4|0|11 11|0|0|RT|0|Y|0.0000|11
|02|15|04||021504|10000069|10000069||MIXAGRIP|OBAT SAKIT FLU (4)||STR||MIXAGRIP O.SKT FLU4S|Y|Y||MIXAGRIP,OBAT SAKIT FLU (4) |1|N|BOX|2831.045202|2831.473000|2830.617403|0.000000|0.000000|0.000000|3900.000000||XX||||01/01/1998 00:00:00|2||0.60|8.20|6.20|33.80|51.00|40.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|5|GRB=Y,FPD=S,RBX=25,RTN=1600,MDR=1,GRB=Y|0|11|0.130435|1||1.565220|3|5|0|11 11|0|0|RT|0|Y|27.0777|11
|02|15|03||021503|10000073|10000073||PARAMEX|OBAT SAKIT KEPALA (4)||STR||PARAMEX SKT KEPALA 4|Y|Y||PARAMEX,OBAT SAKIT KEPALA (4) |1|N|BOX|2159.657535|2164.304000|2159.657535|0.000000|0.000000|0.000000|4300.000000||XX||||01/01/1998 00:00:00|10||0.50|6.30|6.30|35.00|56.50|28.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|13|GRB=Y,FPD=S,RBX=50,RTN=2000,MDR=2,GRB=Y|0|11|0.239130|1||2.869560|3|13|0|11 11|0|0|PT|0|Y|0.0000|11
|02|15|04||021504|10000075|10000075||KONIDIN|OBAT BATUK||STR|4'S|KONIDIN OBAT BTK 4'S|Y|Y||KONIDIN,OBAT BATUK  4'S STR|1|N|BOX|2242.011231|2254.558000|2216.917693|0.000000|0.000000|0.000000|3500.000000||XX||||27/02/2012 00:00:00|2||0.30|6.00|6.00|32.00|50.30|22.40|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N||||27/06/2023 06:43:22|BPB|27/08/2026 06:36:51|||0|5|GRB=Y,FPD=S,RBX=25,RTN=2000,MDR=1,GRB=Y|0|11|0.010870|1||0.130440|3|5|0|11 11|0|0|PT|0|Y|0.0000|11
|02|15|03||021503|10000077|10000077||BODREX|OBAT SAKIT KEPALA (20)||BOX||BODREX SKT KEPALA 20|Y|Y||BODREX,OBAT SAKIT KEPALA (20) |1|N|BOX|7950.575265|7951.881000|7950.575265|0.000000|0.000000|0.000000|10500.000000||XX||||01/01/1998 00:00:00|2||1.60|11.20|4.40|45.50|50.50|24.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0|N|N|||||BPB|27/08/2026 06:36:51|||0|5|GRB=Y,FPD=S,RTN=600,MDR=1,GRB=Y|0|11|0.141304|1||1.695648|3|5|0|11 11|0|0|RT|0|Y|0.0000|11
|01|02|01||010201|10000088|10000088||FRISIAN FLAG|SUSU KENTAL MANIS|COKLAT|KLG|370g|FF SKM CKLT KLG 370|Y|Y||FRISIAN FLAG,SUSU KENTAL MANIS COKLAT 370g KLG|1|N|CTN|11487.032000|11487.032000|11487.032000|0.000000|0.000000|0.000000|13100.000000||XX|||V|01/01/1998 00:00:00|1||7.40|7.40|8.20|46.00|30.50|16.50|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||root@10.46.20.99|27/08/2026 06:36:51|||0|3|TBJ=N,GRB=Y,FPD=S,RTN=48,TBO=N,MDR=1,GRB=Y|0|11|0.000000|1||0.000000|2|3|0|11 11|0|0|PT|0|Y|0.0000|11
|03|24|04||032404|10000090|10000090||ABC|BATTERY BIRU R6 4'S||PCK||ABC BAT.BIRU R6 4'S|Y|Y||ABC,BATTERY BIRU R6 4'S |1|N|CTN|10479.735000|10479.735000|10479.735000|0.000000|0.000000|0.000000|19700.000000||XX||||17/04/1998 00:00:00|4||1.40|5.50|4.90|18.40|18.40|11.30|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|6|GRB=Y,FPD=S,RBX=6,RTN=72,MDR=1,GRB=Y|0|11|0.184783|1||2.217396|2|6|0|11 11|0|0|RT|0|N|0.0000|11
|02|15|02||021502|10000097|10000097||CAP KAPAK|MINYAK ANGIN||BTL|10mL|C/KAPAK MNYK ANGIN10|Y|Y||CAP KAPAK,MINYAK ANGIN  10mL BTL|1|N|LSN|18310.684307|18316.833000|18310.684307|0.000000|0.000000|0.000000|26700.000000||XX||||01/01/1998 00:00:00|1||2.50|3.20|9.40|29.80|50.50|41.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|4|GRB=Y,FPD=S,RBX=12,RTN=600,MDR=1,GRB=Y|0|11|0.010870|1||0.130440|3|4|0|11 11|0|0|RT|0|Y|0.0000|11
|02|15|01||021501|10000098|10000098||CABE|KOYO KECIL 10'S||PCK||CABE KOYO KECIL (10)|Y|Y||CABE,KOYO KECIL 10'S |1|N|BOX|11072.154775|11072.500000|11071.982163|0.000000|0.000000|0.000000|19500.000000||XX||||01/01/1998 00:00:00|1||0.50|7.80|9.20|8.80|9.50|9.50|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|4|GRB=Y,FPD=S,RBX=20,RTN=1000,MDR=1,GRB=Y|0|11|0.076087|1||0.913044|3|4|0|11 11|0|0|RT|0|Y|0.0000|11
|01|10|05||011005|10000101|10000101||BOTAN|MACKAREL||KLG|155g|BOTAN MACKEREL 155G|Y|Y||BOTAN,MACKAREL  155g KLG|1|N|CTN|13663.219607|13663.367000|13663.219607|0.000000|0.000000|0.000000|22900.000000||XX||||01/01/1998 00:00:00|2||5.40|5.40|8.80|56.00|27.70|18.60|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|5|GRB=Y,FPD=S,RTN=100,MDR=2,GRB=Y|0|11|0.076087|1||0.913044|3|5|0|11 11|0|0|RT|0|Y|0.0000|11
|01|10|05||011005|10000102|10000102||BOTAN|MACKAREL||KLG|425g|BOTAN MACKEREL 425G|Y|Y||BOTAN,MACKAREL  425g KLG|1|N|CTN|30528.056000|30528.056000|30528.056000|0.000000|0.000000|0.000000|42900.000000||XX||||01/01/1998 00:00:00|1||7.30|7.30|11.20|47.00|31.00|23.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|3|GRB=Y,FPD=S,RTN=48,MDR=1,GRB=Y|1|11|0.032609|1||1.391308|2|3|1|11 11|0|0|RT|0|Y|0.0000|11
|01|11|05||011105|10000103|10000103||REGAL|MARIE||PCK|230g|REGAL MARIE 230GR|Y|Y||REGAL,MARIE  230g PCK|1|N|CTN|18003.469615|18004.400000|18003.469615|0.000000|0.000000|0.000000|24900.000000||XX|||L|01/01/1998 00:00:00|2||6.50|16.00|6.50|29.00|42.50|19.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|5|TBJ=N,GRB=Y,FPD=S,RTN=24,TBO=N,MDR=1,GRB=Y|0|11|0.173913|1||2.086956|3|5|0|11 11|0|0|RT|0|Y|0.0000|11
|01|11|05||011105|10000104|10000104||REGAL|MARIE||PCK|120g|REGAL MARIE 120GR|Y|Y||REGAL,MARIE  120g PCK|1|N|CTN|9393.496977|9393.600000|9393.290931|0.000000|0.000000|0.000000|12900.000000||XX|||S|01/01/1998 00:00:00|6||6.00|12.00|6.00|25.00|36.50|26.00|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N|||||BPB|27/08/2026 06:36:51|||0|10|TBJ=N,GRB=Y,FPD=S,RTN=48,TBO=N,MDR=1,GRB=Y|2|11|0.228261|1||9.739132|4|10|7|11 11|0|0|RT|0|Y|0.0000|11
Y|01|04|07||010407|10000105|10000105||COCA COLA|SOFT DRINK||KLG|330mL|COCA COLA 330ML|Y|Y||COCA COLA,SOFT DRINK  330mL KLG|1|N|CTN|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|7900.000000||XX|||R|01/01/1998 00:00:00|1||5.80|5.80|14.70|35.00|23.40|15.10|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N||||08/05/2026 06:48:29|root@10.46.20.99|27/08/2026 06:36:51|||0|7|TBJ=Y,RTN=24,TBO=Y,MDR=2|0|11|0.000000|1||0.000000|6|7|0|11 11|0|0|PT|0|Y|0.0000|11
Y|01|04|07||010407|10000106|10000106||SPRITE|SOFT DRINK||KLG|330mL|SPRITE KLG 330ML|Y|Y||SPRITE,SOFT DRINK  330mL KLG|1|N|CTN|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|7900.000000||XX|||R|01/01/1998 00:00:00|1||5.80|5.80|14.70|35.00|23.40|15.10|0|0|0|BC|PFE27086F|26/08/2026 00:00:00||0|N|0.000|||0||N||||08/05/2026 06:48:29|root@10.46.20.99|27/08/2026 06:36:51|||0|7|TBJ=Y,RTN=24,TBO=Y,MDR=2|0|11|0.000000|1||0.000000|6|7|0|11 11|0|0|PT|0|Y|0.0000|11
