RECID|RAKNONRAK|KodeToko|TIPERAK|NORAK|KET_RAK|NAMA_RAK|NOSHELF|KET_SHELF|KIRIKANAN|DEPANBLK|ATASBAWAH|DIVISI|PRDCD|PLUMD|KODESHELF|TKIRIKANAN|TATASBAWAH|TDEPANBLK|QTY|QTY_LENGTH|PKM|MINDISP|NPLUS|TGL_MULAI|TGL_AKHIR|KET|ADDID|ADDTIME|UPDID|UPDTIME|TGL_NP1|TGL_NP2
|R|XXX|A|30441|MILK & BABY FOOD 5 RAK SINGLE ALL SOCIO NASIONAL|1MBF05S0_SD1_AL_NAS30441|9||2|1|1||10000021|10000021||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|48981|BISCUIT 5 RAK DOUBLE ALL SOCIO NASIONAL|1BIS05D0_SD1_AL_NAS48981|40||5|1|1||10000052|10000052||1|1|5|0|0.00|0|5|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|10||15|1|1||10000060|10000060||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|11|1|1||10000069|10000069||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|3|1|1||10000073|10000073||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|8|1|1||10000075|10000075||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|1|1|1||10000077|10000077||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|30441|MILK & BABY FOOD 5 RAK SINGLE ALL SOCIO NASIONAL|1MBF05S0_SD1_AL_NAS30441|999||5|1|1||10000088|10000088||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|49407|RAK BATTERY 1RAK  NON REGULAR ALL SOCIO NAS|1BAT01N0_SD1_AL_NAS49407|1||4|1|1||10000090|10000090||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|5||19|1|1||10000097|10000097||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|1|1|3||10000098|10000098||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|25||4|1|1||10000101|10000101||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|25||13|1|1||10000102|10000102||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|48981|BISCUIT 5 RAK DOUBLE ALL SOCIO NASIONAL|1BIS05D0_SD1_AL_NAS48981|38||4|1|1||10000103|10000103||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|48981|BISCUIT 5 RAK DOUBLE ALL SOCIO NASIONAL|1BIS05D0_SD1_AL_NAS48981|38||5|1|1||10000104|10000104||1|1|4|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
|R|XXX|A|30009|COOLER BEVERAGES 7 PINTU NASIONAL|1CLB07N0_SD1_AL_NAS30009|4||1|1|1||10000105|10000105||1|1|6|0|0.00|0|6|0||||||27/08/2026 06:27:52||||
|R|XXX|A|30009|COOLER BEVERAGES 7 PINTU NASIONAL|1CLB07N0_SD1_AL_NAS30009|4||4|1|1||10000106|10000106||1|1|6|0|0.00|0|6|0||||||27/08/2026 06:27:52||||
|R|XXX|A|30009|COOLER BEVERAGES 7 PINTU NASIONAL|1CLB07N0_SD1_AL_NAS30009|4||7|1|1||10000107|10000107||1|1|6|0|0.00|0|6|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|10||10|1|1||10000116|10000116||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|20||3|1|1||10000126|10000126||1|1|4|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
|R|XXX|A|90912|JAM 1 WING RAK JK1 JK2 BG1 BG2 TG1 TG2 LBK PWK BKS|1JAM01N0_SD1_AL_JK190912|1||3|1|1||10000128|10000128||1|1|1|0|0.00|0|1|0||||||27/08/2026 06:27:52||||
|R|XXX|A|90912|JAM 1 WING RAK JK1 JK2 BG1 BG2 TG1 TG2 LBK PWK BKS|1JAM01N0_SD1_AL_JK190912|1||2|1|1||10000129|10000129||1|1|1|0|0.00|0|1|0||||||27/08/2026 06:27:52||||
|R|XXX|A|48981|BISCUIT 5 RAK DOUBLE ALL SOCIO NASIONAL|1BIS05D0_SD1_AL_NAS48981|9||1|1|1||10000132|10000132||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|48981|BISCUIT 5 RAK DOUBLE ALL SOCIO NASIONAL|1BIS05D0_SD1_AL_NAS48981|9||4|1|1||10000133|10000133||1|1|1|0|0.00|0|1|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|26||2|1|1||10000135|10000135||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|30441|MILK & BABY FOOD 5 RAK SINGLE ALL SOCIO NASIONAL|1MBF05S0_SD1_AL_NAS30441|1||4|1|1||10000143|10000143||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|4||3|1|1||10000144|10000144||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|30441|MILK & BABY FOOD 5 RAK SINGLE ALL SOCIO NASIONAL|1MBF05S0_SD1_AL_NAS30441|1||6|1|1||10000146|10000146||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|3||17|1|1||10000149|10000149||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|5|1|1||10000154|10000154||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|4|1|1||10000155|10000155||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|4||5|1|1||10000159|10000159||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|54526|CONFECTIONARY 2 RAK DOUBLE ALL SOCIO NASIONAL|1CON02D0_SD1_AL_NAS54526|11||7|1|1||10000172|10000172||1|1|4|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
|R|XXX|A|48981|BISCUIT 5 RAK DOUBLE ALL SOCIO NASIONAL|1BIS05D0_SD1_AL_NAS48981|10||3|1|1||10000175|10000175||1|1|4|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|31||2|1|1||10000178|10000178||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|31||1|1|1||10000181|10000181||1|1|2|0|0.00|0|2|0||||||27/08/2026 06:27:52||||
|R|XXX|A|53039|INSTANT FOOD 4 RAK DOUBLE MENENGAH BAWAH JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1IFD04D0_SD1_MB_JK153039|10||3|1|1||10000184|10000184||2|1|5|0|0.00|0|10|0||||||27/08/2026 06:27:52||||
|R|XXX|A|53039|INSTANT FOOD 4 RAK DOUBLE MENENGAH BAWAH JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1IFD04D0_SD1_MB_JK153039|10||1|1|1||10000185|10000185||2|1|5|0|0.00|0|10|0||||||27/08/2026 06:27:52||||
|R|XXX|A|49387|BABY KIDS CARE 1 RAK DOUBLE ALL SOCIO NASIONAL|1BKC01D0_SD1_AL_NAS49387|5||2|1|1||10000189|10000189||1|1|4|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
|R|XXX|A|50960|INDOFOOD ESKRIM FREEZER 200L NASIONAL|1IM201N0_SD1_AL_NAS50960|2||4|1|1||10000193|10000193||1|1|1|0|0.00|0|1|0||||||27/08/2026 06:27:52||||
|R|XXX|A|57675|MEDICINE 1 RAK SINGLE ALL SOCIO NASIONAL|1MED01S0_SD1_AL_NAS57675|6|ACRILIC MEDICINE|15|1|2||10000197|10000197||1|1|3|0|0.00|0|3|0||||||27/08/2026 06:27:52||||
|R|XXX|A|48981|BISCUIT 5 RAK DOUBLE ALL SOCIO NASIONAL|1BIS05D0_SD1_AL_NAS48981|40||1|1|1||10000206|10000206||1|1|4|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|27||1|1|1||10000210|10000210||1|2|2|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
|R|XXX|A|91639|BASIC FOOD 5 RAK DOUBLE JK1 JK2 TG1 TG2 BKS PRG BG1 BG2 LBK PWK|1BFD05D0_SD1_AL_JK191639|11||3|1|1||10000212|10000212||1|1|4|0|0.00|0|4|0||||||27/08/2026 06:27:52||||
